n02119789	kit fox, vulpes macrotis
n02133704	asiatic black bear, black bear, ursus thibetanus, selenarctos thibetanus
n02474282	javanthropus, genus javanthropus
n02106382	bouvier des flandres, bouviers des flandres
n02441942	weasel
n02349557	hispid pocket mouse, perognathus hispidus
n02113712	miniature poodle
n02425228	bushbuck, guib, tragelaphus scriptus
n02113186	cardigan, cardigan welsh corgi
n02508742	bassarisk, cacomistle, cacomixle, coon cat, raccoon fox, ringtail, ring tailed cat, civet cat, miner's cat, bassariscus astutus
n02349205	silky pocket mouse, perognathus flavus
n02417070	domestic goat, capra hircus
n02356977	black squirrel
n02392434	indian rhinoceros, rhinoceros unicornis
n02385898	stalking horse
n02094721	manchester terrier, black and tan terrier
n02413917	cheviot
n02502514	flying lemur, flying cat, colugo
n02435216	musk deer, moschus moschiferus
n02105162	malinois
n02369555	sand rat
n02119477	red fox, vulpes fulva
n02368821	mole rat
n02480153	great ape, pongid
n02393580	tapir
n02415577	bighorn, bighorn sheep, cimarron, rocky mountain bighorn, rocky mountain sheep, ovis canadensis
n02499022	slow loris, nycticebus tardigradua, nycticebus pygmaeus
n02356798	fox squirrel, eastern fox squirrel, sciurus niger
n02397744	collared peccary, javelina, tayassu angulatus, tayassu tajacu, peccari angulatus
n02405101	aurochs, urus, bos primigenius
n02350670	kangaroo mouse, dwarf pocket rat
n02488702	colobus, colobus monkey
n02123159	tiger cat
n02064000	bowhead, bowhead whale, greenland whale, balaena mysticetus
n02482474	central chimpanzee, pan troglodytes troglodytes
n02472987	world, human race, humanity, humankind, human beings, humans, mankind, man
n02081060	hooded seal, bladdernose, cystophora cristata
n02348788	pocket mouse
n02067240	sperm whale, cachalot, black whale, physeter catodon
n02481500	silverback
n02476219	australopithecine
n02368116	viscacha, chinchillon, lagostomus maximus
n02403740	heifer
n02085272	lapdog
n02328429	pika, mouse hare, rock rabbit, coney, cony
n02125010	sand cat
n02407625	hereford, whiteface
n02126787	manul, pallas's cat, felis manul
n02083672	bitch
n02414043	broadtail, caracul, karakul
n02449183	wolverine, carcajou, skunk bear, gulo luscus
n02146879	cave myotis, myotis velifer
n02354781	northern pocket gopher, thomomys talpoides
n02126317	leopard cat, felis bengalensis
n02350357	ord kangaroo rat, dipodomys ordi
n02364840	aperea, wild cavy, cavia porcellus
n02130545	saber toothed tiger, sabertooth
n02356612	western grey squirrel, western gray squirrel, sciurus griseus
n02495242	tree shrew
n02387452	pole horse, poler
n02366579	mountain paca
n02098413	lhasa, lhasa apso
n02137888	ichneumon, herpestes ichneumon
n02123478	angora, angora cat
n02389261	pinto
n02448633	ferret badger
n02422699	impala, aepyceros melampus
n02474777	homo sapiens
n02473307	homo erectus
n02148512	jackass bat, spotted bat, euderma maculata
n02365108	mara, dolichotis patagonum
n02114855	coyote, prairie wolf, brush wolf, canis latrans
n02488894	guereza, colobus guereza
n02094433	yorkshire terrier
n02323902	leporid, leporid mammal
n02414442	rambouillet
n02097967	clydesdale terrier
n02382750	welsh pony
n02111277	newfoundland, newfoundland dog
n02410702	american bison, american buffalo, buffalo, bison bison
n02132136	brown bear, bruin, ursus arctos
n02447021	spotted skunk, little spotted skunk, spilogale putorius
n02407521	guernsey
n02119022	red fox, vulpes vulpes
n02324850	european rabbit, old world rabbit, oryctolagus cuniculus
n02072040	river dolphin
n02091467	norwegian elkhound, elkhound
n02382204	hack, jade, nag, plug
n02106550	rottweiler
n02422106	hartebeest
n02381831	przewalski's horse, przevalski's horse, equus caballus przewalskii, equus caballus przevalskii
n02358890	rock squirrel, citellus variegatus
n02334460	jerboa rat
n02387346	shire, shire horse
n02091831	saluki, gazelle hound
n02120505	grey fox, gray fox, urocyon cinereoargenteus
n02104365	schipperke
n02458517	megatherian, megatheriid, megatherian mammal
n02109256	seeing eye dog
n02354320	southeastern pocket gopher, geomys pinetis
n02077384	guadalupe fur seal, arctocephalus philippi
n02140049	flying fox
n02490597	true marmoset
n02448318	ratel, honey badger, mellivora capensis
n02391994	rhinoceros, rhino
n02425887	sable antelope, hippotragus niger
n02086079	pekinese, pekingese, peke
n02403325	bull
n02397529	peccary, musk hog
n02414763	argali, argal, ovis ammon
n02359556	blacktail prairie dog, cynomys ludovicianus
n02112706	brabancon griffon
n02120278	blue fox
n02100399	setter
n02436224	kanchil, tragulus kanchil
n02098286	west highland white terrier
n02132320	bruin
n02074726	steller's sea cow, hydrodamalis gigas
n02417785	markhor, markhoor, capra falconeri
n02342250	red backed mouse, redback vole
n02411206	musk ox, musk sheep, ovibos moschatus
n02450829	fisher, pekan, fisher cat, black cat, martes pennanti
n02489589	new world monkey, platyrrhine, platyrrhinian
n02339922	packrat, pack rat, trade rat, bushytail woodrat, neotoma cinerea
n02359667	whitetail prairie dog, cynomys gunnisoni
n02450295	pine marten, martes martes
n02095889	sealyham terrier, sealyham
n02077152	fur seal
n02484975	guenon, guenon monkey
n02379908	arabian, arab
n02357401	american red squirrel, spruce squirrel, red squirrel, sciurus hudsonicus, tamiasciurus hudsonicus
n02116450	raccoon dog, nyctereutes procyonides
n02367812	mountain chinchilla, mountain viscacha
n02137549	mongoose
n02389346	ass
n02379081	cow pony
n02494383	woolly monkey
n02503127	proboscidean, proboscidian
n02500267	indri, indris, indri indri, indri brevicaudatus
n02493224	uakari
n02339376	vole, field mouse
n02432511	mule deer, burro deer, odocoileus hemionus
n02135220	civet, civet cat
n02129604	tiger, panthera tigris
n02435517	pere david's deer, elaphure, elaphurus davidianus
n02090721	irish wolfhound
n02113892	large poodle
n02411705	sheep
n02413593	hampshire, hampshire down
n02081798	atlantic walrus, odobenus rosmarus
n02446645	hog nosed skunk, hognosed skunk, badger skunk, rooter skunk, conepatus leuconotus
n02407071	durham, shorthorn
n02076779	eared seal
n02380335	pony
n02082791	aardvark, ant bear, anteater, orycteropus afer
n02477782	sivapithecus
n02434190	woodland caribou, rangifer caribou
n02109687	seizure alert dog
n02432704	black tailed deer, blacktail deer, blacktail, odocoileus hemionus columbianus
n02106966	pinscher
n02094931	toy manchester, toy manchester terrier
n02442572	old world least weasel, mustela nivalis
n02373336	odd toed ungulate, perissodactyl, perissodactyl mammal
n02325722	eastern cottontail, sylvilagus floridanus
n02396427	wild boar, boar, sus scrofa
n02096756	schnauzer
n02125494	ocelot, panther cat, felis pardalis
n02108000	entlebucher
n02357911	antelope squirrel, whitetail antelope squirrel, antelope chipmunk, citellus leucurus
n02417663	bezoar goat, pasang, capra aegagrus
n02122725	tom, tomcat
n02098550	sporting dog, gun dog
n02441326	musteline mammal, mustelid, musteline
n02379743	appaloosa
n02477187	zinjanthropus, genus zinjanthropus
n02093056	bullterrier, bull terrier
n02083780	brood bitch
n02150134	mastiff bat
n02431337	hart, stag
n02113335	poodle, poodle dog
n02434712	brocket
n02417387	angora, angora goat
n02451125	yellow throated marten, charronia flavigula
n02344528	lemming
n02405302	yak, bos grunniens
n02344408	sand rat, meriones longifrons
n02379630	american saddle horse
n02412210	wether
n02487847	barbary ape, macaca sylvana
n02391049	zebra
n02378415	warhorse
n02385580	dark horse
n02412080	ram, tup
n02069701	bottlenose dolphin, bottle nosed dolphin, bottlenose
n02446352	hooded skunk, mephitis macroura
n02470709	anthropoid
n02337171	cactus mouse, peromyscus eremicus
n02413131	domestic sheep, ovis aries
n02108915	french bulldog
n02381460	wild horse
n02430045	deer, cervid
n02110532	liver spotted dalmatian
n02409508	cape buffalo, synercus caffer
n02405692	red poll
n02386496	draft horse, draught horse, dray horse
n02480495	orangutan, orang, orangutang, pongo pygmaeus
n02328820	little chief hare, ochotona princeps
n02110806	basenji
n02128385	leopard, panthera pardus
n02507649	procyonid
n02359047	arctic ground squirrel, parka squirrel, citellus parryi
n02098806	bird dog
n02419796	antelope
n02383231	thoroughbred
n02107683	bernese mountain dog
n02085936	maltese dog, maltese terrier, maltese
n02094114	norfolk terrier
n02087046	toy terrier
n02100583	vizsla, hungarian pointer
n02406859	devon
n02096177	cairn, cairn terrier
n02494079	squirrel monkey, saimiri sciureus
n02128669	panther
n02101108	spaniel
n02403820	bullock
n02369935	queen, queen mole rat
n02386310	workhorse
n02105056	groenendael
n02148835	long eared bat
n02101556	clumber, clumber spaniel
n02378299	palfrey
n02123597	siamese cat, siamese
n02109811	sled dog, sledge dog
n02378755	steed
n02411999	ewe
n02136794	fanaloka, fossa fossa
n02481823	chimpanzee, chimp, pan troglodytes
n02134971	viverrine, viverrine mammal
n02105505	komondor
n02431122	red deer, elk, american elk, wapiti, cervus elaphus
n02144593	false vampire, false vampire bat
n02377181	stallion, entire
n02482650	pygmy chimpanzee, bonobo, pan paniscus
n02358091	ground squirrel, gopher, spermophile
n02437136	camel
n02130925	smiledon californicus
n02082056	fissipedia
n02416104	aoudad, arui, audad, barbary sheep, maned sheep, ammotragus lervia
n02391373	mountain zebra, equus zebra zebra
n02088094	afghan hound, afghan
n02414209	longwool
n02085782	japanese spaniel
n02489166	proboscis monkey, nasalis larvatus
n02498153	aye aye, daubentonia madagascariensis
n02382132	hack
n02092173	staghound
n02364673	guinea pig, cavia cobaya
n02442668	longtail weasel, long tailed weasel, mustela frenata
n02075296	carnivore
n02380745	bronco, bronc, broncho
n02416820	kid
n02331309	pocket rat
n02114548	white wolf, arctic wolf, canis lupus tundrarum
n02124484	manx, manx cat
n02360480	baronduki, baranduki, barunduki, burunduki, eutamius asiaticus, eutamius sibiricus
n02134084	ice bear, polar bear, ursus maritimus, thalarctos maritimus
n02352290	jaculus jaculus
n02485225	talapoin, cercopithecus talapoin
n02480855	gorilla, gorilla gorilla
n02081927	pacific walrus, odobenus divergens
n02386746	packhorse
n02065026	finback, finback whale, fin whale, common rorqual, balaenoptera physalus
n02436353	napu, tragulus javanicus
n02124157	maltese, maltese cat
n02090622	borzoi, russian wolfhound
n02075927	pinniped mammal, pinniped, pinnatiped
n02508346	crab eating raccoon, procyon cancrivorus
n02482060	western chimpanzee, pan troglodytes verus
n02456008	giant armadillo, tatou, tatu, priodontes giganteus
n02113624	toy poodle
n02488003	crab eating macaque, croo monkey, macaca irus
n02389559	domestic ass, donkey, equus asinus
n02354621	valley pocket gopher, thomomys bottae
n02430559	stag
n02415829	mouflon, moufflon, ovis musimon
n02477329	australopithecus robustus
n02423218	thomson's gazelle, gazella thomsoni
n02506947	plantigrade mammal, plantigrade
n02378969	hack
n02093859	kerry blue terrier
n02432291	virginia deer, white tail, whitetail, white tailed deer, whitetail deer, odocoileus virginianus
n02069974	atlantic bottlenose dolphin, tursiops truncatus
n02078292	south american sea lion, otaria byronia
n02346998	old world porcupine
n02068206	beaked whale
n02327656	polar hare, arctic hare, lepus arcticus
n02064816	blue whale, sulfur bottom, balaenoptera musculus
n02403003	ox
n02097298	scotch terrier, scottish terrier, scottie
n02421136	addax, addax nasomaculatus
n02397987	white lipped peccary, tayassu pecari
n02491474	pinche, leontocebus oedipus
n02482286	eastern chimpanzee, pan troglodytes schweinfurthii
n02108551	tibetan mastiff
n02414578	wild sheep
n02493793	spider monkey, ateles geoffroyi
n02421792	dik dik
n02077787	alaska fur seal, callorhinus ursinus
n02390834	onager, equus hemionus
n02419336	chamois, rupicapra rupicapra
n02107142	doberman, doberman pinscher
n02117900	spotted hyena, laughing hyena, crocuta crocuta
n02419056	serow
n02375302	roan
n02399000	ruminant
n02445171	eurasian otter, lutra lutra
n02504770	mammoth
n02423589	springbok, springbuck, antidorcas marsupialis, antidorcas euchore
n02096585	boston bull, boston terrier
n02393807	new world tapir, tapirus terrestris
n02128598	leopardess
n02427724	waterbuck
n02107574	greater swiss mountain dog
n02385098	pony
n02360282	chipmunk
n02378541	cavalry horse
n02107908	appenzeller
n02136103	binturong, bearcat, arctictis bintourong
n02086240	shih tzu
n02102973	irish water spaniel
n02388917	bay
n02330245	mouse
n02485688	green monkey, african green monkey, cercopithecus aethiops sabaeus
n02414290	merino, merino sheep
n02475078	neandertal man, neanderthal man, neandertal, neanderthal, homo sapiens neanderthalensis
n02115096	jackal, canis aureus
n02095212	smooth haired fox terrier
n02442336	stoat
n02150482	vampire bat, true vampire bat
n02388588	stepper, high stepper
n02509515	coati, coati mondi, coati mundi, coon cat, nasua narica
n02072798	white whale, beluga, delphinapterus leucas
n02069412	common dolphin, delphinus delphis
n02428349	oryx, pasang
n02389865	moke
n02112018	pomeranian
n02089232	dachshund, dachsie, badger dog
n02093647	bedlington terrier
n02371344	unguiculate, unguiculate mammal
n02397096	warthog
n02413717	lincoln
n02416964	nanny, nanny goat, she goat
n02376918	male horse
n02450561	american marten, american sable, martes americana
n02445394	sea otter, enhydra lutris
n02409038	anoa, dwarf buffalo, anoa depressicornis
n02430643	royal, royal stag
n02437312	arabian camel, dromedary, camelus dromedarius
n02394477	even toed ungulate, artiodactyl, artiodactyl mammal
n02426813	eland
n02413050	black sheep
n02483708	siamang, hylobates syndactylus, symphalangus syndactylus
n02097047	miniature schnauzer
n02471300	hominoid
n02083346	canine, canid
n02106030	collie
n02461128	tamandua, tamandu, lesser anteater, tamandua tetradactyla
n02353172	hazel mouse, muscardinus avellanarius
n02099601	golden retriever
n02388143	pacer, pacemaker, pacesetter
n02455428	tatouay, cabassous, cabassous unicinctus
n02471762	hominid
n02093991	irish terrier
n02118643	vixen
n02110627	affenpinscher, monkey pinscher, monkey dog
n02118176	aardwolf, proteles cristata
n02324514	lapin
n02106166	border collie
n02387983	pacer
n02428508	gemsbok, gemsbuck, oryx gazella
n02135844	small civet, viverricula indica, viverricula malaccensis
n02062017	aquatic mammal
n02473857	peking man
n02499568	angwantibo, golden potto, arctocebus calabarensis
n02474605	homo habilis
n02350989	jumping mouse
n02146700	little brown bat, little brown myotis, myotis leucifugus
n02090827	greyhound
n02499316	potto, kinkajou, perodicticus potto
n02145424	vespertilian bat, vespertilionid
n02326432	hare
n02138169	palm cat, palm civet
n02380464	polo pony
n02108089	boxer
n02142734	spearnose bat
n02097658	silky terrier, sydney silky
n02385214	yearling
n02088364	beagle
n02103181	griffon, wire haired pointing griffon
n02129463	lioness
n02104882	belgian sheepdog, belgian shepherd
n02437971	domestic llama, lama peruana
n02425086	mountain nyala, tragelaphus buxtoni
n02381004	buckskin
n02111129	leonberg
n02338145	muskrat, musquash, ondatra zibethica
n02065407	lesser rorqual, piked whale, minke whale, balaenoptera acutorostrata
n02100236	german short haired pointer
n02486261	patas, hussar monkey, erythrocebus patas
n02416880	billy, billy goat, he goat
n02115913	dhole, cuon alpinus
n02424305	kudu, koodoo, koudou
n02451415	tayra, taira, eira barbara
n02486410	baboon
n02484473	old world monkey, catarrhine
n02487347	macaque
n02443015	american mink, mustela vison
n02127586	spotted lynx, lynx pardina
n02403454	cow, moo cow
n02503756	rogue elephant
n02420828	gerenuk, litocranius walleri
n02390015	jennet, jenny, jenny ass
n02501583	tarsier
n02062430	cetacean, cetacean mammal, blower
n02366301	paca, cuniculus paca
n02390640	african wild ass, equus asinus
n02098906	water dog
n02450426	sable, martes zibellina
n02492948	saki
n02381609	tarpan, equus caballus gomelini
n02424909	nyala, tragelaphus angasi
n02137722	indian mongoose, herpestes nyula
n02112497	griffon, brussels griffon, belgian griffon
n02147328	serotine, european brown bat, eptesicus serotinus
n02370525	ungulata
n02479332	aegyptopithecus
n02422391	sassaby, topi, damaliscus lunatus
n02099849	chesapeake bay retriever
n02108422	bull mastiff
n02349847	mexican pocket mouse, liomys irroratus
n02088992	coondog
n02104029	kuvasz
n02492035	capuchin, ringtail, cebus capucinus
n02477516	paranthropus, genus paranthropus
n02341288	meadow vole, meadow mouse, microtus pennsylvaticus
n02097786	skye terrier
n02433318	fallow deer, dama dama
n02110958	pug, pug dog
n02345078	brown lemming, lemmus trimucronatus
n02450677	stone marten, beech marten, martes foina
n02089468	sausage dog, sausage hound
n02099429	curly coated retriever
n02366959	coypu, nutria, myocastor coypus
n02406533	brown swiss
n02407763	cattalo, beefalo
n02363245	old world beaver, castor fiber
n02090129	harrier
n02094258	norwich terrier
n02132466	syrian bear, ursus arctos syriacus
n02385676	mudder
n02336826	white footed mouse, vesper mouse, peromyscus leucopus
n02388832	liver chestnut
n02391508	grevy's zebra, equus grevyi
n02405577	welsh, welsh black
n02386014	harness horse
n02099267	flat coated retriever
n02092468	terrier
n02087314	courser
n02382437	pony
n02485371	grivet, cercopithecus aethiops
n02377603	broodmare, stud mare
n02122878	tabby, queen
n02336275	american harvest mouse, harvest mouse
n02070174	pacific bottlenose dolphin, tursiops gilli
n02123917	burmese cat
n02404906	zebu
n02129530	lionet
n02333909	black rat, roof rat, rattus rattus
n02395406	hog, pig, grunter, squealer, sus scrofa
n02380052	lippizan, lipizzan, lippizaner
n02404573	brahman, brahma, brahmin, bos indicus
n02127808	big cat, cat
n02502006	tarsius glis
n02348173	canada porcupine, erethizon dorsatum
n02416519	goat, caprine animal
n02334201	bandicoot rat, mole rat
n02417242	cashmere goat, kashmir goat
n02483092	lesser ape
n02386224	hackney
n02103406	working dog
n02146371	brown bat
n02433729	roebuck
n02503517	elephant
n02112350	keeshond
n02109961	eskimo dog, husky
n02067768	dwarf sperm whale, kogia simus
n02150885	desmodus rotundus
n02079851	harbor seal, common seal, phoca vitulina
n02111626	spitz
n02390738	kiang, equus kiang
n02101388	brittany spaniel
n02332447	harvest mouse, micromyx minutus
n02458135	two toed sloth, unau, unai, choloepus hoffmanni
n02428089	puku, adenota vardoni
n02337001	deer mouse, peromyscus maniculatus
n02080146	harp seal, pagophilus groenlandicus
n02381119	crowbait, crow bait
n02344175	jird
n02113799	standard poodle
n02382338	plow horse, plough horse
n02095570	lakeland terrier
n02505485	imperial mammoth, imperial elephant, archidiskidon imperator
n02128757	snow leopard, ounce, panthera uncia
n02460009	anteater, new world anteater
n02082190	fissiped mammal, fissiped
n02490811	pygmy marmoset, cebuella pygmaea
n02335231	beaver rat
n02423362	gazella subgutturosa
n02351343	meadow jumping mouse, zapus hudsonius
n02433925	caribou, reindeer, greenland caribou, rangifer tarandus
n02505238	columbian mammoth, mammuthus columbi
n02076402	crabeater seal, crab eating seal
n02396014	boar
n02377480	mare, female horse
n02138647	slender tailed meerkat, suricata suricatta
n02127482	bobcat, bay lynx, lynx rufus
n02475358	cro magnon
n02140858	cynopterus sphinx
n02087551	hound, hound dog
n02326862	european hare, lepus europaeus
n02140179	pteropus capestratus
n02496052	prosimian
n02406749	jersey
n02361850	yellowbelly marmot, rockchuck, marmota flaviventris
n02347744	new world porcupine
n02380583	mustang
n02427470	kob, kobus kob
n02325884	swamp rabbit, canecutter, swamp hare, sylvilagus aquaticus
n02374451	horse, equus caballus
n02101006	gordon setter
n02121808	domestic cat, house cat, felis domesticus, felis catus
n02132580	grizzly, grizzly bear, silvertip, silver tip, ursus horribilis, ursus arctos horribilis
n02505063	woolly mammoth, northern mammoth, mammuthus primigenius
n02438272	alpaca, lama pacos
n02377388	gelding
n02122510	alley cat
n02431628	sambar, sambur, cervus unicolor
n02326074	marsh hare, swamp rabbit, sylvilagus palustris
n02389128	palomino
n02115641	dingo, warrigal, warragal, canis dingo
n02097209	standard schnauzer
n02327435	blacktail jackrabbit, lepus californicus
n02125689	jaguarundi, jaguarundi cat, jaguarondi, eyra, felis yagouaroundi
n02413824	exmoor
n02492356	douroucouli, aotus trivirgatus
n02448060	eurasian badger, meles meles
n02342885	hamster
n02078738	australian sea lion, zalophus lobatus
n02062744	whale
n02426176	saiga, saiga tatarica
n02393161	black rhinoceros, diceros bicornis
n02097474	tibetan terrier, chrysanthemum dog
n02415130	urial, ovis vignei
n02094562	rat terrier, ratter
n02340186	dusky footed woodrat, neotoma fuscipes
n02408817	carabao
n02120079	arctic fox, white fox, alopex lagopus
n02414904	marco polo sheep, marco polo's sheep, ovis poli
n02095314	wire haired fox terrier
n02064338	rorqual, razorback
n02460451	ant bear, giant anteater, great anteater, tamanoir, myrmecophaga jubata
n02387722	post horse, post horse, poster
n02447762	american badger, taxidea taxus
n02080415	elephant seal, sea elephant
n02088238	basset, basset hound
n02410900	wisent, aurochs, bison bonasus
n02406952	grade
n02435853	chevrotain, mouse deer
n02393940	malayan tapir, indian tapir, tapirus indicus
n02408429	water buffalo, water ox, asiatic buffalo, bubalus bubalis
n02345600	pied lemming
n02328009	belgian hare, leporide
n02353411	lerot
n02366002	agouti, dasyprocta aguti
n02086478	english toy spaniel
n02455720	peludo, poyou, euphractus sexcinctus
n02133161	american black bear, black bear, ursus americanus, euarctos americanus
n02328150	angora, angora rabbit
n02355227	squirrel
